,count,unique,top,freq,mean,std,min,25%,50%,75%,max
MES,87556.0,,,,201504.9063113893,2.5322328963911818,201501.0,201503.0,201505.0,201507.0,201509.0
CLIENTE,87556.0,,,,43778.5,25275.384421738607,1.0,21889.75,43778.5,65667.25,87556.0
Linea_Renovado,87556.0,,,,20938.425510530404,19528.059347743634,700.0,9100.0,14300.0,25350.0,100000.0
Plazo_Renovado,87556.0,,,,32.36432683082827,10.976920325603952,6.0,24.0,36.0,36.0,60.0
FLAG_VENTA,87556.0,,,,0.0398830462789529,0.19568552897661667,0.0,0.0,0.0,0.0,1.0
Uso_Linea,68364.0,,,,0.12859344327423788,0.19219962326349632,0.0,0.0,0.0306335,0.19126225,1.466976
Uso_TrimLinea,68364.0,,,,0.09693543366391667,0.20470906527397092,0.0,0.0,0.0,0.069125,1.666666
Nro_Entidades,87556.0,,,,1.9060487002604047,1.1850878823467828,0.0,1.0,2.0,3.0,9.0
Dif_Entidades,87556.0,,,,-0.11232811000959386,0.9774351694393445,-5.0,-1.0,0.0,0.0,5.0
Saldo_Consumo,82370.0,,,,14385.172298773825,21570.062428024074,0.0,4102.655000000001,8368.145,15786.39,722781.09
Meses_oferta,73700.0,,,,14.704464043419268,5.929295170542251,1.0,11.0,15.0,21.0,21.0
Ahorro,87556.0,,,,10805.548003563434,70683.6206866314,-979.0,147.0,1208.0,5246.0,8597760.0
Prestamo_vigente,87556.0,,,,19673.2931381059,35031.94798298601,-98.0,3954.0,10162.0,21453.0,2132740.0
Promed_6Mdeuda,87556.0,,,,28746.081053127164,122550.09464432884,-1123.8,1002.79166625,6363.166666,23710.333335,9077797.0
EDAD,87555.0,,,,43.82075266975044,10.822433916005762,21.0,35.0,43.0,52.0,72.0
SEXO,87555,2,M,61414,,,,,,,
EST_CIVIL,87555,7,S,44341,,,,,,,
ANTIGUEDAD_MES,87555.0,,,,124.33650848038376,74.8826092777482,3.0,59.0,106.0,189.0,561.0
REGION,87538,14,LIMA MODERNA,13836,,,,,,,
Flag_LimProv,87556.0,,,,0.5250582484352871,0.49937454116299274,0.0,0.0,1.0,1.0,1.0
SUELDO_ESTIMADO,87519.0,,,,4766.287255487379,6003.919848710276,0.0,2183.49,3178.12,5599.0,240909.0
Deuda_Cubierta%,87556.0,,,,0.7378105294554342,1.0388433591221624,0.0,0.326458,0.5481229999999999,0.77506575,52.4342
